,cowcode,country,year,c_abbr,recent_country,wg,region_ccp,system_year,system_age,system_num,recent_system,event_year,event_age,event_num,recent_event,valid_year,eventtype,reconciled,Human Dignity,Right to Overthrow Government,Amparo,Indigenous Voting,Indigenous Representation,Form Indigenous Political Parties,Indigenous Tax Exemption,Indigenous Exemption for Illegal Activities,Indigenous Internal Governance,Form Parties,Universal Adult Suffrage,State Duty to Provide Work,State Duty to Protect Culture,Jury Trial,Victims' Rights,Extradition of Criminals,Collection of Evidence,Pre-Trial Release,Habeas Corpus,No Punishment Without Law,Appeal,Capital Punishment Banned,Corporal Punishment Banned,Due Process,Examine Witnesses,Ex Post Laws Banned,Redress for False Imprisonment,Fair Trial,Speedy Trial,Public Trial,Presumption of Innocence,Trial in Native Language,Juvenile Criminal Rights,Double Jeopardy Banned,Protection Against Self-Incrimination,Counsel,Debtor Detention Banned,Birthright Citizenship,Renounce Citizenship,Equality Before Law,Gender Equality,Nationality Equality,Country of Origin Equality,Racial Equality,Language Equality,Religious Equality,Sexual Orientation Equality,Age Equality,Disability Equality,Color Equality,Creed Equality,Social Status Equality,Financial Equality,Tribe/Clan Equality,Party Equality,Parentage Equality,Access to Information,Protection of Reputation,Freedom of Religion,Separation of Church and State,Expropriation of Property,Fair Compensation,Unions,Strike,Leisure,Minimum Standard of Living,Transfer Property,Testate,Inheritance,Intellectual Property,Patents,Copyrights,Trademarks,Form Business,Consumer Rights,Social Security,Support for Elderly,Support for Unemployed,Support for Disabled,Support for Children,Property,Free Market,Benefits of Science,Choose Occupation,Safe Working Environment,Child Labor,Shelter,Marriage,Found Family,Matrimonial Equality,Childrens' Rights,Civil Marriage,Self-Determination,Health,Life,Slavery Banned,Torture Banned,Cruel Treatment Prohibited,Privacy,Movement,Opinion,Expression,Petition,Censorship Banned,Press,Assembly,Association,Development of Person,Conscientious Objectors,Asylum,Arms,Environment,Arts,Language Protection,Free Education,Academic Freedom,Access to Higher Education
,,,,,,,,,,,,,,,,,,,"""Dignity of man"" or ""human dignity"" mentioned in the constitution",Citizens explicitly granted right to depose the government under certain circumstances,Right to judicial remedy for government violations of certain individual rights,Voting rights for indigenous peoples specifically protected,Indigenous people granted special representation in the central government,Right of indigenous peoples to form political parties specifically protected,Indigenous people exempted from taxation for certain activities,Indigenous people allowed to participate in certain activities illegal for non-indigenous groups,Indigenous people granted special rights to internal governance,Right to form political parties generally protected,Voting rights for all adults protected,State required to provide employment,State required to protect or promote culture or cultural rights,Juries or other citizen participation required for decision-making in criminal trials,Rights of crime victims specifically protected,Extradition of suspected or convicted criminals prohibited,"Search, seizure, or other evidentiary collection regulated",Right to pre-trial release specifically protected,Right to protection from unjustified restraint specifically protected,Punishments must be in accordance with legal rules,Right to appeal judicial decisions specifically protected,Death penalty prohibited,Whipping and other physical punishments prohibited,Right to due process of law specifically protected,Right to examine or confront witnesses in legal proceedings protected,Laws retroactively altering legal status of various activities prohibited,Right of compensation or remedy for false imprisonment or judicial error protected,Right to a fair trial specifically protected,Right to a speedy trial specifically protected,Public trials generally required,Innocence presumed in trials at law,Right to interpreter or trial in a language in the accused person's language protected,Juveniles given special rights or status in criminal procedure,Multiple trials for the same crime prohibited,Right to silence or protection from self-incrimination for accused persons,Right to counsel for indicted or arrested persons,Detention of debtors forbidden,All citizens born in a country's national territory automatically granted citizenship,Citizens given right to renounce citizenship,Non-discrimination or equality before law specifically protected,Discrimination on basis of gender prohibited,Discrimination on basis of nationality prohibited,Discrimination on basis of country of origin prohibited,Discrimination on basis of race prohibited,Discrimination on basis of language prohibited,Discrimination on basis of religion prohibited,Discrimination on basis of sexual orientation prohibited,Discrimination on basis of age prohibited,Discrimination on basis of mental or physical disability prohibited,Discrimination on basis of color prohibited,Discrimination on basis of creed or beliefs prohibited,Discrimination on basis of social status prohibited,Discrimination on basis of property ownership prohibited,Discrimination on basis of tribe or clan prohibited,Discrimination on basis of political party membership prohibited,Discrimination on basis of parentage prohibited,Right to view government files or documents,Right to protect one's reputation from libelous actions,Freedom of religion specifically provided,Explicit separation of church and state,State may take private property for public use,"Right to just, fair, or equal payment for work",Right to form or join trade unions,Right to strike,Right of rest or leisure,Right to an adequate or reasonable standard of living,Right to transfer property freely,Right to transfer property freely after death,Inheritance rights protected,General reference to intellectual property rights,Patent rights protected,Copyright protected,Trademarks protected,Right to conduct or establish a business,Consumer rights or consumer protection specifically mentioned,Social security specifically mentioned,Right to financial support for elderly persons,Right to financial support for unemployed persons,Right to financial support for disabled persons,Right to financial support for children or orphans,Right to own property specifically mentioned,Right to a free or competitive market specifically mentioned,Right to enjoy the benefits of scientific progress,Right to choose one's occupation,Right to a safe working environment,Limits on child labor,Right to shelter or housing,Right to marriage,Right to found a family,Equality between partners in a marriage,Rights of children guaranteed,Constitutional provision for civil marriage,Constitution explicitly grants right to select fundamental political and social principles without external compulsion,Right to healthcare protected,Right to life protected,"Constitutional prohibition on slavery, servitude, or forced labor",Constitutional prohibition on torture,"Cruel, inhuman, or degrading treatment banned",Right to privacy,Freedom of movement from place to place,"Freedom of opinion, thought, or conscience",Freedom of expression,Right to petition,Censorship prohibited,Freedom of the press,Freedom of assembly,Freedom of association,Individual right to self-determination or free development of personality,Right to exemption from military service for conscientious objectors,"Protections for stateless individuals or refugees, or a general right to asylum",Right to bear arms,Protection or preservation of environment mentioned,Artists or the arts mentioned,Protection of different languages mentioned,Right to a free education,Academic freedom guaranteed,Equal access to higher education guaranteed
15814,700,Afghanistan,2012,AFG,1,1,E. Europe/Post-Soviet,2004,8,831,1,2004,8,NA,0,2010,non-event,NA,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no,1. conditional,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,2. yes and free access,1. yes,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,1. conditional,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,2. yes and free access,1. yes,1. conditional,2. full,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no
8887,339,Albania,2012,ALB,1,1,E. Europe/Post-Soviet,1998,14,443,1,2008,4,NA,0,2010,non-event,NA,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,1. conditional,1. yes,1. yes,1. yes,0. no,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,2. yes and free access,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. conditional,0. no,1. yes,2. full,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,1. yes,0. no,2. full,1. yes,0. no,1. yes,0. no,0. no,1. yes,1. yes,1. conditional,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,2. full,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. conditional
13840,615,Algeria,2012,ALG,1,1,Middle East/N. Africa,1963,49,749,1,2008,4,NA,0,2010,non-event,NA,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. conditional,0. no,0. no,2. full,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,2. full,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no
6636,232,Andorra,2012,AND,1,1,W. Europe/U.S./Canada,1993,19,371,1,1993,19,NA,0,2010,non-event,NA,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,2. full,0. no,1. yes,0. no,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. conditional,1. yes,1. yes,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,2. full,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no
12782,540,Angola,2012,ANG,1,1,Sub-Saharan Africa,2010,2,992,1,2010,2,NA,0,2010,non-event,NA,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,0. no,0. no,1. conditional,1. yes,0. no,1. yes,1. yes,1. yes,2. full,2. full,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,1. yes,2. yes and free access,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. conditional,1. yes,1. yes,1. conditional,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,2. yes and free access,1. yes,0. no,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,2. full,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no
1204,58,Antigua and Barbuda,2012,AAB,1,1,Latin America,1981,31,84,1,1981,31,NA,0,2010,non-event,NA,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,0. no,1. conditional,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,2. full,2. full,2. full,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no
4257,160,Argentina,2012,ARG,1,1,Latin America,1983,29,306,1,1997,15,NA,0,2010,non-event,NA,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,1. yes,1. yes,2. full,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,0. no,1. yes,2. full,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,2. full,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no
10123,371,Armenia,2012,ARM,1,1,E. Europe/Post-Soviet,1995,17,529,1,2005,7,NA,0,2010,non-event,NA,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,1. conditional,1. yes,0. no,1. yes,0. no,1. yes,2. full,0. no,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,2. yes and free access,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. conditional,1. yes,1. yes,2. full,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. conditional,1. yes,1. yes,1. yes,0. no,0. no,2. yes and free access,1. yes,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. conditional
18419,900,Australia,2012,AUL,1,1,Oceania,1901,111,939,1,1985,27,NA,0,2010,non-event,NA,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. conditional,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no
