Title|ID|Variable|Constitution|Text
0|Freedom of Religion|freerel|Afghanistan_2004| <section>     <h3>Chapter I &gt; Article 2</h3>     <p>The sacred religion of Islam is the religion of the Islamic Republic of Afghanistan. Followers of other faiths shall be free within the bounds of law in the exercise and performance of their religious rituals.</p> </section>
1|Birthright Citizenship|solissuf|Afghanistan_2004| <section>     <h3>Chapter I &gt; Article 4</h3>     <p>National sovereignty in Afghanistan shall belong to the nation, manifested directly and through its elected representatives. The nation of Afghanistan is composed of all individuals who possess the citizenship of Afghanistan. The nation of Afghanistan shall be comprised of Pashtun, Tajik, Hazara, Uzbek, Turkman, Baluch, Pachaie, Nuristani, Aymaq, Arab, Qirghiz, Qizilbash, Gujur, Brahwui and other tribes. The word Afghan shall apply to every citizen of Afghanistan. No individual of the nation of Afghanistan shall be deprived of citizenship. The citizenship and asylum related matters shall be regulated by law.</p> </section>
2|Equality|equal|Afghanistan_2004| <section>     <h3>Chapter II &gt; Article 22</h3>     <p>Any kind of discrimination and distinction between citizens of Afghanistan shall be forbidden. The citizens of Afghanistan, man and woman, have equal rights and duties before the law.</p> </section>
3|Life|life|Afghanistan_2004| <section>     <h3>Chapter II &gt; Article 23</h3>     <p>Life is the gift of God as well as the natural right of human beings. No one shall be deprived of this except by legal provision.</p> </section>
4|Unjustified Restraint|habcorp|Afghanistan_2004| <section>     <h3>Chapter II &gt; Article 27</h3>     <p>No deed shall be considered a crime unless ruled by a law promulgated prior to commitment of the offense. No one shall be pursued, arrested, or detained without due process of law. No one shall be punished without the decision of an authoritative court taken in accordance with the provisions of the law, promulgated prior to commitment of the offense.</p> </section>
5|Ex Post Laws|expost|Afghanistan_2004| <section>     <h3>Chapter II &gt; Article 27</h3>     <p>No deed shall be considered a crime unless ruled by a law promulgated prior to commitment of the offense. No one shall be pursued, arrested, or detained without due process of law. No one shall be punished without the decision of an authoritative court taken in accordance with the provisions of the law, promulgated prior to commitment of the offense.</p> </section>
6|â€œNo Punishment Without Lawâ€ù|wolaw|Afghanistan_2004| <section>     <h3>Chapter II &gt; Article 27</h3>     <p>No deed shall be considered a crime unless ruled by a law promulgated prior to commitment of the offense. No one shall be pursued, arrested, or detained without due process of law. No one shall be punished without the decision of an authoritative court taken in accordance with the provisions of the law, promulgated prior to commitment of the offense.</p> </section>
7|Evidence|evidence|Afghanistan_2004| <section>     <h3>Chapter II &gt; Article 30</h3>     <p>A statement, confession or testimony obtained from an accused or of another individual by means of compulsion shall be invalid. Confession to a crime is a voluntary admission before an authorized court by an accused in a sound state of mind.</p> </section>  <section>     <h3>Chapter II &gt; Article 38</h3>     <p>Personal residences shall be immune from trespassing. No one, including the state, shall have the right to enter a personal residence or search it without the ownerâ€™s permission or by order of an authoritative court, except in situations and methods delineated by law. In case of an evident crime, the responsible official shall enter or search a personal residence without prior court order. The aforementioned official, shall, after entrance or completion of search, obtain a court order within the time limit set by law.</p> </section>
8|Counsel|couns|Afghanistan_2004| <section>     <h3>Chapter II &gt; Article 31</h3>     <p>Upon arrest, or to prove truth, every individual can appoint a defense attorney. Immediately upon arrest, the accused shall have the right to be informed of the nature of the accusation, and appear before the court within the time limit specified by law. In criminal cases, the state shall appoint a defense attorney for the indigent. Confidentiality of conversations, correspondence, and communications between the accused and their attorney shall be secure from any kind of violation. The duties and powers of defense attorneys shall be regulated by law.</p> </section>
9|Debtors' Rights|debtrght|Afghanistan_2004| <section>     <h3>Chapter II &gt; Article 32</h3>     <p>Debt shall not curtail or deprive the freedom of the individual. The method and means of recovering debt shall be regulated by law.</p> </section>
10|Expression|express|Afghanistan_2004| <section>     <h3>Chapter II &gt; Article 34</h3>     <p>Freedom of expression shall be inviolable. Every Afghan shall have the right to express thoughts through speech, writing, illustrations as well as other means in accordance with provisions of this constitution. Every Afghan shall have the right, according to provisions of law, to print and publish on subjects without prior submission to state authorities. Directives related to the press, radio and television as well as publications and other mass media shall be regulated by law.</p> </section>
11|Press|press|Afghanistan_2004| <section>     <h3>Chapter II &gt; Article 34</h3>     <p>Freedom of expression shall be inviolable. Every Afghan shall have the right to express thoughts through speech, writing, illustrations as well as other means in accordance with provisions of this constitution. Every Afghan shall have the right, according to provisions of law, to print and publish on subjects without prior submission to state authorities. Directives related to the press, radio and television as well as publications and other mass media shall be regulated by law.</p> </section>
12|Assembly|assem|Afghanistan_2004| <section>     <h3>Chapter II &gt; Article 36</h3>     <p>The people of Afghanistan shall have the right to gather and hold unarmed demonstrations, in accordance with the law, for attaining legitimate and peaceful purposes.</p> </section>
14|Property|proprght|Afghanistan_2004| <section>     <h3>Chapter II &gt; Article 40</h3>     <p>Property shall be safe from violation. No one shall be forbidden from owning property and acquiring it, unless limited by the provisions of law. No one's property shall be confiscated without the order of the law and decision of an authoritative court. Acquisition of private property shall be legally permitted only for the sake of public interests, and in exchange for prior and just compensation. Search and disclosure of private property shall be carried out in accordance with provisions of the law.</p> </section>
15|Expropriation of Property|exprop|Afghanistan_2004| <section>     <h3>Chapter II &gt; Article 40</h3>     <p>Property shall be safe from violation. No one shall be forbidden from owning property and acquiring it, unless limited by the provisions of law. No one's property shall be confiscated without the order of the law and decision of an authoritative court. Acquisition of private property shall be legally permitted only for the sake of public interests, and in exchange for prior and just compensation. Search and disclosure of private property shall be carried out in accordance with provisions of the law.</p> </section>
16|Intellectual Property|intprop|Afghanistan_2004| <section>     <h3>Chapter II &gt; Article 47</h3>     <p>The state shall devise effective programs for fostering knowledge, culture, literature and arts. The state shall guarantee the copyrights of authors, inventors and discoverers, and, shall encourage and protect scientific research in all fields, publicizing their results for effective use in accordance with the provisions of the law.</p> </section>
17|Slavery|slave|Afghanistan_2004| <section>     <h3>Chapter II &gt; Article 49</h3>     <p>Forced labor shall be forbidden. Active participation in times of war, disaster, and other situations that threaten public life and comfort shall be among the national duties of every Afghan. Forced labor on children shall not be allowed.</p> </section>
18|Public Trial|pubtri|Afghanistan_2004| <section>     <h3>Chapter VII &gt; Article 128</h3>     <p>In the courts in Afghanistan, trials shall be held openly and every individual shall have the right to attend in accordance with the law. In situations clarified by law, the court shall hold secret trials when it considers necessary, but pronouncement of its decision shall be open in all cases.</p> </section>
19|Church/State Relationship|seprel|Albania_2008| <section>     <h3>PART 1 &gt; Article 10 &gt; 4</h3>     <p>The state and the religious communities mutually respect the independence of one another and work together for the good of each and all.</p> </section>
20|Equality|equal|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER I &gt; Article 18 &gt; 1</h3>     <p>All are equal before the law.</p> </section>
21|Racial Non-Discrimination|equal4|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER I &gt; Article 18 &gt; 2</h3>     <p>No one may be unjustly discriminated against for reasons such as gender, race, religion, ethnicity, language, political, religious or philosophical beliefs, economic condition, education, social status, or parentage.</p> </section>
22|Gender Non-Discrimination|equal1|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER I &gt; Article 18 &gt; 2</h3>     <p>No one may be unjustly discriminated against for reasons such as gender, race, religion, ethnicity, language, political, religious or philosophical beliefs, economic condition, education, social status, or parentage.</p> </section>
23|Birthright Citizenship|solissuf|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER I &gt; Article 19 &gt; 1</h3>     <p>Everyone born of at least one parent with Albanian citizenship gains Albanian citizenship automatically. Albanian citizenship is gained also for other reasons provided by law.</p> </section>  <section>     <h3>PART 2 &gt; CHAPTER I &gt; Article 19 &gt; 2</h3>     <p>An Albanian citizen cannot lose his citizenship, except when he relinquishes it.</p> </section>
25|Life|life|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 21</h3>     <p>The life of the person is protected by law.</p> </section>
26|Expression|express|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 22 &gt; 1</h3>     <p>Freedom of expression is guaranteed.</p> </section>
27|Press|press|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 22 &gt; 2</h3>     <p>Freedom of the press, radio and television is guaranteed.</p> </section>  <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 22 &gt; 3</h3>     <p>Prior censorship of means of communication is prohibited.</p> </section>
29|Freedom of Religion|freerel|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 24 &gt; 1</h3>     <p>Freedom of conscience and of religion is guaranteed.</p> </section>
30|Cruel and Unusual Punishment|cruelty|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 25</h3>     <p>No one may be subjected to torture, cruel, inhuman or degrading punishment or treatment.</p> </section>
31|Slavery|slave|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 26</h3>     <p>No one may be required to perform forced labor, except in cases of the execution of a judicial decision, the performance of military service, or for a service that results from a state of war, a state of emergency or a natural disaster that threatens human life or health.</p> </section>
32|Debtors' Rights|debtrght|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 27 &gt; 3</h3>     <p>No one may be deprived of liberty just because he is not in a state to fulfill a contractual obligation.</p> </section>
33|Unjustified Restraint|habcorp|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 28 &gt; 1</h3>     <p>Everyone whose liberty has been taken away has the right to be notified immediately, in a language that he understands, of the reasons for this measure, as well as the accusation made against him. The person whose liberty has been taken away shall be informed that he has no obligation to make a declaration and has the right to communicate immediately with his lawyer, and he shall also be given the possibility to exercise his rights.</p> </section>  <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 28 &gt; 2</h3>     <p>The person whose liberty has been taken away, according to article 27, paragraph 2, subparagraph c, must be brought within 48 hours before a judge, who shall decide upon his pre-sentence detention or release not later than 48 hours from the moment he receives the documents for review.</p> </section>  <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 28 &gt; 3</h3>     <p>A person in pre-sentence detention has the right to appeal the judge's decision. He has the right to be tried within a reasonable period of time or to be released on bail pursuant to law.</p> </section>  <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 28 &gt; 4</h3>     <p>In all other cases, the person whose liberty is taken away extrajudicially may address a judge at any time, who shall decide within 48 hours regarding the legality of this action.</p> </section>  <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 28 &gt; 5</h3>     <p>Every person whose liberty was taken away pursuant to article 27 has the right to humane treatment and respect for his dignity.</p> </section>
35|Pre-Trial Release|prerel|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 28 &gt; 2</h3>     <p>The person whose liberty has been taken away, according to article 27, paragraph 2, subparagraph c, must be brought within 48 hours before a judge, who shall decide upon his pre-sentence detention or release not later than 48 hours from the moment he receives the documents for review.</p> </section>
39|Ex Post Laws|expost|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 29 &gt; 1</h3>     <p>No one may be accused or declared guilty of a criminal offense that was not provided for by law at the time of its commission, with the exception of offenses, which at the time of their commission constituted war crimes or crimes against humanity according to international law.</p> </section>
40|Evidence|evidence|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 32 &gt; 1</h3>     <p>No one may be compelled to testify against himself or his family or to confess his guilt.</p> </section>  <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 32 &gt; 2</h3>     <p>No one may be declared guilty on the basis of data collected in an unlawful manner.</p> </section>
41|Self-Incrimination|miranda|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 32 &gt; 2</h3>     <p>No one may be declared guilty on the basis of data collected in an unlawful manner.</p> </section>
43|Double Jeopardy|doubjep|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 34</h3>     <p>No one may be sentenced more than once for the same criminal offense or be tried again, except for cases when the re-adjudication of the case is ordered by a higher court, in the manner specified by law.</p> </section>
44|Property|proprght|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 41 &gt; 1</h3>     <p>The right of private property is guaranteed.</p> </section>  <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 41 &gt; 2</h3>     <p>Property may be acquired by gift, inheritance, purchase, or any other classical means provided by the Civil Code.</p> </section>  <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 41 &gt; 3</h3>     <p>The law may provide for expropriations or limitations in the exercise of a property right only in the public interest.</p> </section>  <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 41 &gt; 4</h3>     <p>Expropriations or limitations of a property right that amount to expropriation are permitted only against fair compensation.</p> </section>
